Código;nombre;precio
11424;HUAIPE SEDA BLANCO 1 KL HILACHAS - CAMUS HSB009;9670
11425;TRAPO LIMPIEZA FRANELA X KILO;3180
11427;WD40 CHICO 155 GRS;8000
11430;WD40 CHICO 155  GRS + 20%  GRATIS;10671
11501;CORDON ELEC. PVC 3X1.5MM 3X16 H05VV-F BLANCOE100 REGALOHOGAR;2510
11502;CORDON ELEC.PVC 3X2.5MM3X14 H05VV-FE100 NEGROREGALOHOGAR;2610
11503;CORDON ELEC.PVC 4X2.5MM4X14 H05VV-FE100 NEGRO REGALOHOGAR;3005
11504;CABLE SOLDAR 1X 35 MM2 SECC.CUADRADA GOMA 225 AMP TOPWELD X MT H01N2- LUQUE;8440
11505;CABLE SOLDAR 1X 50 MM2 SECC.CUADRADA GOMA 300 AMP TOPWELD X MT H01N2- LUQUE;9590
11506;ESCALA TIJERA ALUMINIO 6 PELD+ BASE 2.13 MT 90 KG 207 E1;103450
11507;CABLE SOLDAR 1X 70 MM2 SECC.CUADRADA GOMA 500 AMP TOPWELD X MT H01N2- LUQUE;14420
11510;CORDON GOMA SJO 3 X 14 LUQUE;3540
11524;CD MALLA RASCHEL NEGRA 420 ANCHO 80% X ROLLO 100 MTS E1;119300
11589;TARUGO PALOMA # 4-12  MURITO P/VOLCANITA POR UN.  E-500 FUAQ-500;80
11590;TARUGO PLASTICO  # 5  POR UN. E-1000  FUAL-110;20
11591;TARUGO PLASTICO #  6  POR UN. E-1000  FUAM-110;20
11592;TARUGO PLASTICO # 8  POR UN. E-1000  FUAN-110;40
11593;TARUGO PLASTICO  # 10 POR UN. E-1000 FUAO-110;60
11594;TARUGO PLASTICO # 12 POR UN. E-1000  FUAP-110;90
11604;FLAPPER ESTANQUE WC C/ CADENA PLASTICA HOFFENS/MIXA 11604 E25;2430
116623;PUNTA CORONA  15/16 CROSS 257761;13830
116628;CHICHARRA [ ] 3/4 X 20 CROSS 257850;78730
116630;MASILLA MAGICA LIVIANA 700 ML S/CATAL e=12;12310
116634;MASILLA MAGICA LIVIANA GL S/CATAL  e=4;55510
116636;MASILLA MAGICA LIVIANA 350 ML S/CATAL e=24;5870
116677;PUNTA Y CORONA 27 MM CROSS 257627;23270
116679;PUNTA CORONA 1.1/8 CROSS 257764;25190
116680;BARROTE CORREDIZO 3/4 X 20 CROSS 257852;37280
116681;PUNTA CORONA  1/4 CROSS 257750;3570
116682;PUNTA CORONA  5/16 CROSS 257751;3390
116702;CANDADO PROFESIONAL # 350 ODIS CAN0000059 E6;34420
11735;REGULADOR P/GAS 45 KG C/ FLEXIBLEE1;51410
11779;BALDE ALBAÑIL CONCRETERO 12 LITROS 1000293687 MTS;3200
11810;PILA DURACELL GRANDE MN1300 B2  BLISTER 2 UNID. 1003550503 E=48 BL;6197
11811;PILA DURACELL MEDIANA MN1400 B4  BLISTER 2 UNID. DURACELL1003106617 E=48 BL;5830
11812;PILA DURACELL CHICA AA  MN1500B2 BLISTER 2 UN. 1003106619 E= 48 BL;3200
11813;PILA DURACELL TRIPLE A AAAMN2400  BLISTER 2 UNID. 1003106623 E=48 BL;3110
11814;BATERIA DURACELL MN1604 9 V ADEL 1003106621 E=48 BL;5520
11815;PILA DURACELL BOTON LITHIUM CR2032 X UNIDAD 1004028515E40;762
120063;TAPAGORRO SAN GRIS 40 MM  20473 E20;520
120064;TAPAGORRO SAN GRIS 50 MM  20474 E20;611
120066;TAPAGORRO SAN GRIS 110 MM  20451 E10;1340
120074;FLEXADREN AGRICOLA 100 MM R-50 351048;5920
12597;SIERRA COPA A/R H00-35 25/32 - 20 MM STARRET 670105;16470
12598;REGULADOR  P/GAS 11-15 KG SPLENDID   E-12 1000588121;9510
12602;CADENA MOTOSIERRA 14 MOD-MS-170 50ESLABON STHIL1136360000050;30928
12604;CADENA MOTOSIERRA 18 MOD-MS-250 68ESLABON STHIL1136290000068;40360
12605;CADENA MOTOSIERRA 16 MOD-MS-210 55ESLABON STHIL1136360000055;34110
12611;COPLA PVC HIDRAULICO 20 MM   20128 E60;138
12612;COPLA PVC HIDRAULICO 25 MM  20161 E30;167
12613;COPLA PVC HIDRAULICO 32 MM 60278 E15;311
12614;COPLA PVC HIDRAULICO 40 MM  20171 E15;821
12615;COPLA PVC HIDRAULICO 50 MM  20170 E10;766
12616;COPLA PVC HIDRAULICO 63 MM  60138 E10;1510
12617;COPLA PVC HIDRAULICO 75 MM  50674 E1;4218
12618;COPLA PVC HIDRAULICO 90 MM  50188 E1;4784
12619;COPLA PVC HIDRAULICO 110 MM  50187 E1;7830
12620;TERMINAL PVC HE CEM HIDRAULICO 20 MM  20129 E60;133
12621;TERMINAL PVC HE CEM HIDRAULICO 25 MM  20147 E30;233
12622;TERMINAL PVC HE CEM HIDRAULICO 32 MM 20151 E30;389
12623;TERMINAL PVC HE CEM HIDRAULICO 40 MM  20162 E15;630
12624;TERMINAL PVC HE CEM HIDRAULICO 50 MM X 1.1/2  20166 E10;963
12625;TERMINAL PVC HE CEM HIDRAULICO 63 MM 60141 E10;1470
12626;TERMINAL PVC HE CEM HIDRAULICO 75 MM 60264 E1;2553
12628;TERMINAL PVC HE CEM HIDRAULICO 110 MM 60266 E1;7448
12629;TERMINAL PVC HI CEM HIDRAULICO 20 MM  20130E60;209
12630;TERMINAL PVC HI CEM HIDRAULICO 25 MM 20148 E30;300
12631;TERMINAL PVC HI CEM HIDRAULICO 32 MM  20152 E15;520
12632;TERMINAL PVC HI CEM HIDRAULICO 40 MM 20163 E15;777
12633;TERMINAL PVC HI CEM HIDRAULICO 50 MM  20167 E10;1050
12634;TERMINAL PVC HI CEM HIDRAULICO 63 MM 60183E10;1865
12635;TERMINAL PVC HI CEM HIDRAULICO 75 MM 60255E1;4110
12636;TERMINAL PVC HI CEM HIDRAULICO 90 MM 60256E1;7559
12637;TERMINAL PVC HI CEM HIDRAULICO 110 MM 60257E1;9250
12638;TEE PVC CEM HIDRAULICO 20 MM 20131 E60;233
12639;TEE PVC CEM HIDRAULICO 25 MM  20144 E60;455
12640;TEE PVC CEM HIDRAULICO 32 MM 20150 E15;610
12641;TEE PVC CEM HIDRAULICO 40 MM 20159 E15;1114
12642;TEE PVC CEM HIDRAULICO 50 MM 20165 E10;1530
12643;TEE PVC CEM HIDRAULICO 63 MM 20174 E10;3530
12644;TEE PVC CEM HIDRAULICO 75 MM  60174 E1;5590
12645;TEE PVC CEM HIDRAULICO 90 MM  60175 E1;7714
12646;TEE PVC CEM HIDRAULICO 110 MM  60143 E1;10601
12647;TEE PVC HI CEM HIDRAULICO 20 MM X 1/2  20134 E30;499
12648;TEE PVC HI CEM HIDRAULICO 25 MM X 3/4 60020E30;710
12649;CODO PVC CEM HIDRAULICO 20 MM 20132 E60;144
12650;CODO PVC CEM HIDRAULICO 25 MM  20143 E30;321
12651;CODO PVC CEM HIDRAULICO 32 MM  20149 E30;459
12652;CODO PVC CEM HIDRAULICO 40 MM  20158 E15;821
12653;CODO PVC CEM HIDRAULICO 50 MM  20160 E10;1450
12654;CODO PVC CEM HIDRAULICO 63 MM  20173E10;2520
12655;CODO PVC CEM HIDRAULICO 75 MM  60172 E1;5839
12656;CODO PVC CEM HIDRAULICO 90 MM  60173 E1;4718
12657;CODO PVC CEM HIDRAULICO 110 MM  60142 E1;9570
12658;CODO PVC 90° HI CEM HIDRAULICO 20 MM X 1/2  20641 E60;455
12659;CODO PVC 90° HI CEM HIDRAULICO 25 MM X 1/2  60830 E30;633
12660;CODO PVC 90° HI CEM HIDRAULICO 25 MM X 3/4  60276 E25;544
12667;TAPAGORRO PVC CEM HIDRAULICO 20 MM  20285E30;144
12668;TAPAGORRO PVC CEM HIDRAULICO 25 MM  60270E25;167
12669;TAPAGORRO PVC CEM HIDRAULICO 32 MM 20157 E15;211
12670;TAPAGORRO PVC CEM HIDRAULICO 40 MM  50617 E12;610
12671;TAPAGORRO PVC CEM HIDRAULICO 50 MM 60205 E10;611
12672;TAPAGORRO PVC CEM HIDRAULICO 63 MM  60206 E10;1340
12673;TAPAGORRO PVC CEM HIDRAULICO 75 MM  60207 E1;2650
12674;TAPAGORRO PVC CEM HIDRAULICO 90 MM 50675 E1;3240
12676;TAPAGORRO PVC HI HIDRAULICO 20 MM 20539 E30;144
12677;TAPAGORRO PVC HI HIDRAULICO 25 MM  20636 E30;300
12678;TAPAGORRO PVC HI HIDRAULICO 32 MM 20637 E15;455
12679;TAPAGORRO PVC HI HIDRAULICO 50 MM  20644 E10;821
12685;TEE PVC HI CEM HIDRAULICA 25 X 1/2 MM  60826 E30;620
12689;UNION AMERICANA PVC HIDRAULICO 20 MM 20359 E10;1070
12690;UNION AMERICANA PVC HIDRAULICO 25 MM 60002 E10;1460
12691;UNION AMERICANA PVC HIDRAULICO 32 MM 20105 E10;2430
12692;UNION AMERICANA PVC HIDRAULICO 40 MM 60220 E1;2520
12693;UNION AMERICANA PVC HIDRAULICO 50 MM 60136 E1;4860
12694;UNION AMERICANA PVC HIDRAULICO 63 MM  60139 E1;4640
12695;UNION AMERICANA PVC HIDRAULICO 75 MM 60221 E1;19458
12696;UNION AMERICANA PVC HIDRAULICO 90 MM 60222 E1;29670
12697;UNION AMERICANA PVC HIDRAULICO 110 MM  60218 E1;26251
12700;BUJE CORTO PVC HIDRA 25 X 20 MM  20146E30;89
12701;BUJE REDUCCION LARGO PVC HIDRA 32 X 20 MM  50648 E15;310
12702;BUJE CORTO PVC HIDRA 32 X 25 MM 20154 E15;190
12703;BUJE CORTO PVC HIDRA 40 X 32 MM  20176 E15;244
12704;BUJE CORTO PVC HIDRA 50 X 40 MM  60227 E10;433
12705;BUJE CORTO PVC HIDRA 63 X 50 MM 60140E10;877
12706;BUJE CORTO PVC HIDRA 75 X 63 MM 60165 E1;2520
12732;CURVA PVC CONDUIT 20MM C-III NOVOPLAST FT50586650494E100;300
12733;CURVA PVC CONDUIT 25MM C-III NOVOPLAST FT52642150495E130;355
12734;CURVA PVC CONDUIT 32MM C-III NOVOPLAST FT503085E50;744
12735;COPLA PVC CONDUIT 20MM HOFFENS 50497 E30;111
12736;COPLA PVC CONDUIT C-III 25MM NOVOPLAST FT1503040E50;190
12737;COPLA PVC CONDUIT C-III 32MM NOVOPLAST FT1503045E40;411
12738;COPLA PVC CONDUIT C-III 16MM NOVOPLAST FT150108350496E200;133
12739;CURVA PVC CONDUIT 40MM C-III NOVOPLAST FT503090E20;1132
12740;CURVA PVC CONDUIT 50MM C-III HOFFENS 50507 E10;2026
12742;TUBO PVC CORRUGADO CONDUIT 16MM X 25MT NJO HOFFENS 62703E10;17490
12755;SALIDA ESTANQUE PVC HIDRAULICO 20 MM X 1/2 50259E10;1854
12761;TAPAGORRO PVC HI HIDRAULICO 40 MM 20634 E15;1043
12767;COPLA PVC CONDUIT C-III 40MM NOVOPLAST 50519E10;630
12768;COPLA PVC CONDUIT C-III 50MM NOVOPLAST 50520E10;821
12773;SALIDA ESTANQUE PVC HIDRAULICO 32 MM X 1 50647E5;2360
12880;**CANERIA COBRE 1/2 TIPO L TIRA 6 MTS E1;49210
12887;**CAÑERIA COBRE  3/4 TIPO L TIRA 6 MTS E1;65510
12891;**CANERIA COBRE  1/2 TIPO M TIRA 6 MTS E1 1000388392;35990
12892;CAÑERIA COBRE  3/4 TIPO M TIRA 6 MTS E1;62660
12893;**CANERIA COBRE  1 TIPO M TIRA 6 MTS E1;66300
13045;COPLA BRONCE SO - SO  1/2 1003270929  E200;670
13046;COPLA BRONCE SO - SO  3/4 X 1/2 10PL1011153 E100;1590
13047;COPLA BRONCE SO - SO  3/4 10PL1011150 E1;1920
13049;COPLA BRONCE SO - SO  1 X 3/4 10CX1011254 E1;3710
13050;COPLA BRONCE SO - SO  1  10CX1011250 E1;6940
130741;BARRA CORTINA BAÑO CROM. 3/4 X 3 MTS LISO C/FL METALHSA 20050300 E10;18300
13075;TERMINAL BRONCE SO HI 1/2   1003270933 E200;1140
13078;TERMINAL BRONCE SO - HI  3/4  10PL0512150 E1;2680
13079;TERMINAL BRONCE SO - HI  1  10PL0512250 E1;4246
130810;CD CAMARA RUEDA CARRETILLA 102332003 E1;3980
13087;TERMINAL BRONCE SO - HE  1/2 1003270931 E200;1470
13089;TERMINAL BRONCE SO - HE 3/4 1003270930  E100;2550
130901;COLA FRIA MOWICOL RAPIDO PROFESIONAL BOLSA 1 KG MW30011000 e12;7360
130902;COLA FRIA MOWICOL SUPER BOLSA/BOTELLA  1 KG MW20011000 e12;6510
130903;CAVE II PLUG DOYPACK 2KG CAVE 201003E12;11710
13091;TERMINAL BRONCE SO - HE 1 10PL0513250E1;3856
13100;CODO BRONCE SO - HE  1/2 1003270934 E100;1660
13101;CODO BRONCE SO - HE  3/4  10CX0113150 E1;2626
131016;SOPORTE CORTINA SIMPLE 12 MM METALHSA 20100021 E50;2510
131017;SOPORTE CORTINA DOBLE 12 MM METALHSA 20110005  E25;4700
131021;TRAMPA P/RATON LIOI ZINCACA E-1251360200;5540
13108;CODO BRONCE SO - SO  1/2 1003270938  E200;1090
13109;CODO BRONCE SO - SO  3/4 X 1/2  10PL0111153 E1;2019
13110;CODO BRONCE SO - SO  3/4   1003270937 E100;2315
13112;CODO BRONCE SO - SO  1 X 3/4  E1 080654000-T;2910
13113; CODO BRONCE SO - SO  1  10PL0111250 E1;4310
13131;CODO BRONCE SO HI 1/2   1003270936 E100;1820
13134;CODO BRONCE SO - HI 3/4  1003270935 E50;6019
13143;TEE BRONCE SO - SO  1/2  1003270926 E100;1250
131470;OVEROL POPLIN AZUL C/CINTA REFLEC TALLA M BUFALO LIOI;9104
13149;TEE BRONCE SO - SO  1/2X 3/4 X 3/4 10PL1511174 E1;4110
13150;TEE BRONCE SO - SO  3/4 10PL15111150 E1;3400
13154;TEE BRONCE SO - SO  1 X 1 X 3/4  E1 081355402-7;5100
13155;TEE BRONCE SO - SO  1 10CX1511250 E1;7470
13182;TEE BRONCE SO - HI  1/2 10PL1512100 E1;3198
13190;UNION AMERICANA BRONCE SO-SO  1/2 10CX2511100 E1;6589
13191;UNION AMERICANA BRONCE SO-SO  3/4  10CX2511150E1;9091
131910;PUNTA ATORNILLADOR PH2 50MM IMANTADO TOMA 1/4 HEMIC8832PH250E10;1320
131912;PUNTA ATORNILLADOR PH3 50MM IMANTADO TOMA 1/4 ECEF6610PH25010E10;1715
131914;PUNTA ATORNILLADOR PH2 65MM IMANTADO DOBLE PUNTA TOMA 1/4 HEMIC8832PH265E10;1570
131916;PUNTA ATORNILLADOR PH2+SL6 65MM IMANTADO TOMA 1/4 HEMIC8832COM65E10;1570
131917;SET PUNTA ATORNILLADOR PHILLIPS PH2 CRUZ 25MM X 10 UN. TOMA 1/4 APAB-010 E10;5950
131918;PUNTA ATORNILLADOR TORX-20 50MM TOMA 1/4 HEMIC8834T2050E10;1350
13192;UNION AMERICANA BRONCE SO-SO 1 10CX2511250 E1;10801
131928;LLAVE VASO 5/16 8MM IMANTADO PARA TOMA 1/4 HEMIC883051610E10;1870
131930;LLAVE VASO 3/8 9.5MM IMANTADO PARA TOMA 1/4 HEMIC883030805E5;2019
131932;PORTA PUNTA 75MM IMANTADO PARA TOMA 1/4 HEMIC883907510E10;2647
131934;BROCA METAL 3MM HSS LINEA-SETTER ECEF460300E10;845
131936;BROCA METAL 3.5MM HSS LINEA-SETTER ECEF460350E10;1070
131938;BROCA METAL 4MM HSS LINEA-SETTER ECEF460400E10;1130
131940;BROCA METAL 4.5MM HSS LINEA-SETTER ECEF460450E10;1320
131942;BROCA METAL 5MM HSS LINEA-SETTER ECEF460500E10;1422
131944;BROCA METAL 5.5MM HSS LINEA-SETTER ECEF460550E10;1650
131946;BROCA METAL 6MM HSS LINEA-SETTER ECEF460600E10;1990
131948;BROCA METAL 6.5MM HSS LINEA-SETTER ECEF460650E10;2214
131950;BROCA METAL 7MM HSS LINEA-SETTER ECEF460700E10;2585
131952;BROCA METAL 8MM HSS LINEA-SETTER ECEF460800E10;3224
131954;BROCA METAL 9MM HSS LINEA-SETTER ECEF460900E5;4130
131958;BROCA METAL 11MM HSS LINEA-SETTER ECEF461100E5;7283
131960;BROCA METAL 12MM HSS LINEA-SETTER ECEF461200E5;9120
131964;BROCA METAL 13MM HSS LINEA-SETTER ECEF461300E5;10320
131966;BROCA CONCRETO 6MM LINEA-SUPER ECEF240060E10;2101
131968;BROCA CONCRETO 8MM LINEA-SUPER ECEF240080E10;2920
131970;BROCA CONCRETO 10MM LINEA-SUPER ECEF240100E10;3920
131972;BROCA CONCRETO 12MM LINEA-SUPER ECEF240120E5;5450
131976;BROCA MADERA 5MM ECEF62005E10;1617
131978;BROCA MADERA 6MM ECEF62006E10;1761
131980;BROCA MADERA 8MM ECEF62008E10;2800
131982;BROCA MADERA 10MM ECEF62010E10;3540
131984;BROCA PLANA MADERA 1/4 HEMIC885106104;2111
